time,na,va_x,va_y,va_z,B_inst_x,B_inst_y,B_inst_z,Ta_perp,Trat
1610718647.486135,12.80018218252586,-476.7914832252683,98.67459429972318,53.39104322397253,-118.853,18.3742,-1.88688,213.6435557960650,0.5639522285288892
1610718773.315672,12.56540501388920,-480.0820729348976,105.5600980434089,52.36374449423256,-119.222,17.6469,-2.71938,238.8930726304341,0.6686883940639076
1610718899.145230,12.16150616764456,-479.5087974106015,102.0696145075162,53.00262837316325,-114.558,33.2144,4.11619,214.5480389177273,0.5383522573961047
1610719024.974767,12.90418945411781,-475.8644167441941,105.5093935737612,38.80865660520052,-98.4298,-3.59968,46.9685,240.5910183479600,0.7752347193779473
1610719150.804324,11.90050088295050,-474.0404403942970,101.8286186647102,32.02835078188338,-97.8915,23.4604,66.7181,219.3790977567697,0.5085742570788148
1610719276.633801,12.82069713113305,-479.6312996845118,101.7397556658172,34.97378119621487,-100.122,-10.7483,43.0231,249.6101790941439,0.8244433975712278
1610719402.463339,12.35304265018236,-466.5317785128954,97.09872908667040,38.29484407467493,-113.272,24.9530,33.2899,243.2866754072318,0.5445393070917536
1610719528.292896,12.98259784775164,-471.3135425103894,95.93351267892872,36.70338846221006,-110.826,36.7126,26.2078,223.5080137802834,0.5206944483282744
1610719654.122433,10.16787647480790,-495.1988444615935,104.2223022254507,42.19165436819991,-54.4613,101.025,3.59332,240.5620378740033,0.7476623354449777
1610719779.951991,11.28071420635535,-489.0464405342853,95.71684260288633,39.97955405929184,-94.9618,64.1757,15.3259,257.4713515247080,0.7077949038643342
1610719905.781528,12.00969019409786,-481.8582382995060,95.87106822395596,38.97622507976496,-96.5373,58.2231,34.2644,249.3922305716499,0.7013370136778116
1610720031.611025,12.66336667225138,-472.6849557328366,88.09612363293721,37.75971851693676,-88.4379,41.2682,64.9596,260.9936075269002,0.6586630107484482
1610720157.440563,11.85705688976565,-479.0022216599839,103.5786880734118,28.36937276489531,-79.8915,11.0951,73.0183,232.8324019258798,0.6392685752736619
1610720283.270100,14.04210242067661,-472.4847995397399,104.5944434615883,25.40752607835719,-77.8336,-25.0917,67.3693,253.3396494790538,0.7335050550627606
1610720409.099658,13.96276967009991,-469.2421129631999,96.88850868938880,38.73842232343244,-104.134,19.4195,29.0691,257.3450220420293,0.6797755886272246
1610720534.929195,12.70658133903571,-479.4561429152247,104.4091078911764,42.96829384775620,-96.6195,-17.8576,49.8790,280.9909421709740,1.010336797464879
1610720660.758752,12.87632867432138,-471.4392598125476,103.0865880993143,42.51912747437329,-111.896,0.245565,-8.62775,255.1227317414448,0.7934276333876452
1610720786.588289,12.72260602895938,-474.3535488171237,103.3936709266062,45.21791995431412,-103.849,6.03986,17.6162,267.9117070962031,0.8445481131397764
1610720912.417787,12.93535948250784,-471.3140625215240,103.7656269284053,40.55692871452113,-103.448,-7.62862,38.1843,266.4094849274782,0.7794046625831875
1610721038.247324,13.62698403940289,-466.5024708918577,104.3335082455894,45.35423601964150,-104.489,-30.5739,10.4053,264.4857442958622,0.8481171438781183
1610721164.076861,13.07166438036609,-461.7454745061223,108.1876156426728,47.23866625610138,-106.383,-36.4217,-10.9444,263.0029985096833,0.8162548089654429
1610721289.906418,13.05021088499287,-470.4206559656242,105.3084904242271,38.58331596880434,-108.104,-16.8659,26.1256,277.8306829471827,0.8236227226444650
1610721415.735956,13.23758092743341,-467.3740998431209,98.63701093091834,58.56734348464847,-100.600,-21.7795,-49.8662,280.7590333915098,1.015601119253969
1610721541.565513,13.55891576001586,-474.7747665894038,93.26456135690523,53.79843891108755,-114.720,2.74407,-8.67154,294.1311796773530,0.9938466964455254
1610721667.394990,12.66036023475610,-471.8851260017025,100.3359795672316,53.79187286939290,-112.930,14.2639,3.16881,273.1508562259903,0.7695054093251407
1610721793.224548,13.24825682558001,-458.5682187316627,99.97427220141337,50.77001637381726,-116.065,-1.72587,10.3080,243.0485641776449,0.6270347424751992
1610721919.054085,14.00562702861501,-465.2110541647090,103.0597998933338,58.17069280454540,-99.5703,-18.6757,-49.8207,262.8315919734666,0.7990541805430397
1610722044.883622,12.80626263419687,-469.3484804783961,103.3459590333270,45.35210093122600,-114.835,-14.3991,11.5132,258.7156922911115,0.7471466846211159
1610722170.713180,14.28841000043997,-470.0848591728078,98.72573905901757,44.88581978718610,-109.880,-11.9340,2.60342,286.2789209611407,0.9083211892588767
1610722296.542717,13.98821507442106,-464.6469285450160,104.3733283887434,46.90687027180987,-105.505,-26.2551,-6.69637,287.0066869325524,0.8035458724229526
1610722422.372274,14.09374717072078,-462.1309868808780,107.9771851242143,38.68113502964255,-102.973,-28.4956,22.8479,255.4244832985688,0.6601462358457381
1610722548.201751,13.89024702675173,-472.2947597939772,106.8535364455401,43.32318333435851,-109.493,-17.0149,12.9993,274.8320406564860,0.8132241667647310
1610722674.031309,14.76824102546359,-452.3177527348733,100.0111701858399,40.07913328055445,-88.1523,-6.75006,-24.2777,285.9761539597890,0.7342767395144406
