time,np1,np2,vp1_x,vp1_y,vp1_z,B_inst_x,B_inst_y,B_inst_z,vdrift,Tperp1,Tperp2,Trat1,Trat2
1601176724.457492,987.0358045462609,197.8649513196410,-267.5451230677527,73.64001776310694,37.63479428983479,211.170,-83.7551,-4.57285,-97.85565746293862,50.16820871337855,50.70737495533999,2.345603993921518,0.5066750981622837
1601176836.306066,1027.324048810453,214.5344896597296,-271.8972972850387,69.11473384754926,68.74035510850118,206.284,-86.3700,34.4324,-98.59243310640613,50.76748428161765,48.57612591651466,2.520186025516146,0.5252949163886202
1601176948.154600,1090.732495740687,287.3445269233887,-265.7870758118790,92.09617225057598,54.91811865930776,218.731,-46.1268,15.9112,-85.43952833249610,51.22733952844176,58.61618309593158,2.525230854980617,0.7232077119920445
1601177060.003174,1055.779654870425,279.7553486444486,-274.1511502737192,87.33463779524625,64.24912038294343,223.314,-63.2538,40.6905,-91.93376133391274,49.31312361985545,46.22943615808476,2.277159200692860,0.5392073861753428
1601177171.851708,990.6080697677858,305.4052160507520,-265.2278269047826,86.11080270353231,59.69552603835350,217.753,-79.4261,11.9875,-93.87954785491158,47.94919424117527,50.96798019461517,2.268011570279575,0.5828672274566766
1601177283.700283,960.4539104337103,271.8426565128070,-272.8511498526495,86.71875759900161,45.75401475858269,225.844,-74.5820,1.37533,-74.38055975606629,45.44511951998472,56.13778423850079,2.042661993218085,0.6853033971621790
1601177395.548817,1108.745706179049,312.3388232553579,-265.7380846303121,116.8662995980477,53.76598248698127,236.839,-4.10149,16.9495,-76.98105958163593,47.08046739964055,51.33596127843064,2.226704960179169,0.6537419365569832
1601177507.397411,972.4701914080805,217.0290480542330,-277.5021265063489,102.3366822559099,52.69906862110604,232.875,-51.2082,11.6997,-116.1960975660506,50.64520640169297,43.34919805781949,2.004796908095142,0.5014476260172256
1601177619.245925,602.5705025828207,400.8911641937377,-299.9245052772255,67.80153063910352,62.22418692371681,228.183,-96.6496,30.4391,-68.27741425373574,51.37816885117153,41.46115580604827,2.357229294326376,0.6138292363399236
1601177731.094459,797.7697284204007,243.6907405940941,-294.3484153380515,72.04060638034341,41.92146244212340,228.222,-103.764,1.10859,-117.1377997453665,50.53576022577988,33.81157071703257,2.059246162933669,1.031036731416727
1601177842.943033,810.0858108175418,184.7282987053229,-297.6765205599925,67.96674805173609,35.36844840469168,221.922,-113.331,-18.4086,-130.9340535668383,49.55679422579956,30.73887268137819,1.878875355087298,1.563231689935322
1601177954.791567,914.6412298795309,73.25623819782628,-310.1629003936154,78.45416538016698,45.16666890660652,219.538,-110.655,-16.7853,-161.0448234750620,49.78302709103119,5.004308838173355,1.229040803576331,0.2033511876911462
1601178066.640141,898.4258316373795,177.4485801220829,-296.9393516719204,71.16609525188693,55.74156354728062,222.413,-116.301,-7.03853,-127.9656415369908,48.64137630353882,25.42280708518634,1.683100382155518,1.493823411142234
1601178178.488676,391.3458615758846,465.5925502330558,-312.0067425697001,72.91657757977387,53.89568785962260,232.374,-130.295,4.71952,-54.69696789088429,50.34486855610026,33.50538529130002,2.966122241040218,0.5950626211406530
1601178290.337250,653.5408672199034,271.5975120863891,-312.3607124512299,85.82924019746396,48.50289009954731,237.091,-119.795,4.84573,-61.04621913410774,47.67454586678350,30.90083077002907,1.730091943462072,0.4028554461408674
1601178402.185784,762.8111627096573,230.3926370871266,-305.0967385629175,86.68433334014885,53.72767993025831,236.889,-109.113,9.72779,-71.53720123608670,47.54426284299829,29.41044545297420,1.549245007053501,0.3384624241921915
1601178514.034378,776.3457494748843,165.8621799090327,-315.0234212225549,92.51960284480950,58.42229204439648,239.750,-114.162,20.9994,-73.73541447359268,45.27853201474197,27.14020239985991,1.411402740799488,0.3070547537633858
1601178625.882892,1132.974100298033,76.25026549824010,-288.5990876516923,100.8920852421666,62.60949399246594,239.690,-75.2900,10.4357,-148.8888877140153,45.89534153158024,7.223446725525887,1.344647845729980,0.7754885114730015
1601178737.731486,904.7829896029962,269.7438924409932,-288.8251788325020,92.82943413458447,62.35787827908541,243.857,-78.4240,-2.07525,-89.84374385766088,49.26152489024135,29.32099245453613,1.789226100027774,0.3042876920574897
1601178849.580001,895.9766100076762,326.9587800682709,-284.2180560079809,79.71644419409023,79.62028108045881,233.938,-93.3373,25.9853,-85.72802398051451,50.23792230727911,25.81485363538042,1.948775440580201,0.3822219072523745
1601178961.428595,765.9363208263380,390.7635744834779,-280.6486257034934,72.91018564721946,78.25147196188560,229.942,-103.691,26.9231,-81.65507315947551,51.72314562578737,27.34385233438109,2.279555302917978,0.4253187655333891
1601179073.277109,715.7817774678008,431.8492682769873,-278.0758276936512,72.99318833633519,64.13256920981974,226.089,-104.762,4.27788,-88.71094097256915,55.21202094326303,31.51202879816857,2.530879190734459,0.4310316796818411
1601179185.125643,821.3007627866011,232.5698865574003,-312.6670214978533,70.69057559544568,87.99953902590590,206.661,-130.918,58.0153,-69.42578520304835,50.01149167705508,19.87119380474229,1.355995766252363,0.2696376021217721
1601179296.974237,647.2244995070500,488.4341130705974,-294.8279476817455,67.30804966380866,94.99092685591400,216.866,-117.148,62.6670,-76.13650221320016,51.55534999417740,31.35958624517760,2.103814721977868,0.6471549168745361
1601179408.822752,600.9053254131435,477.0368404347918,-287.9365671024443,71.27535270690336,97.78433139970249,214.874,-115.253,84.3018,-77.82880091568394,49.08782046743518,30.74611500714380,2.382509691320514,0.5814556155273199
1601179520.671346,512.8438092788058,475.3388733087039,-297.2664768603158,69.32557013931148,102.9511643347641,212.861,-119.655,100.169,-77.78968133819880,46.77714782225679,31.65160629356159,2.515044293587038,0.6126714748324515
1601179632.519860,474.5792055986691,557.4834223259403,-281.0480002469567,76.36971705253443,76.11167001096779,227.885,-111.076,39.2170,-73.55835140967167,49.58904310550319,36.64452654868299,2.579536078675494,0.7455603608763377
1601179744.368454,912.5435468354148,160.6136432242200,-294.3441962664248,93.53977968905060,43.03636974986765,235.887,-105.119,9.99971,-117.3760915880454,43.07661552256300,33.55308539586260,1.297367802612974,0.3407424351132914
1601179856.216968,878.6582511435075,201.7096622870861,-294.2280087417378,91.59340247884070,36.80365077667846,235.142,-107.023,0.889990,-112.7526379755010,42.66804723451393,32.97186737510647,1.278103956249674,0.3345417833825374
1601179968.065562,916.8983881712848,145.9079909081574,-298.4446696350324,87.85751300003977,27.70913707506604,230.249,-110.458,-18.9574,-128.1413977748529,47.44999167148797,40.98459108936685,1.314021301664671,0.4487305198216351
1601180079.914076,823.1243627334762,155.1559907893287,-303.9100161983137,86.50661157369294,2.382318935922555,225.371,-121.153,-62.2395,-118.5104750654830,46.55362531086005,23.96593247748551,1.330065009582148,0.2339702248021129
1601180191.762671,754.0614556953598,174.3981176748576,-305.0400534010267,71.97722507841787,21.72799478777859,224.369,-143.329,-35.5756,-132.6334279386880,47.37071601076739,36.68068655731056,1.574062514013625,0.3846587627158365
1601180303.611205,919.7179218535144,79.40106272521479,-305.0376489408669,83.24379318468003,57.18157957769587,236.355,-120.192,45.9182,-181.3005465931696,40.92760112050791,42.67271401471541,1.232760921682535,0.6873088527318193
1601180415.459779,825.9290434164826,196.3012666084801,-298.3339011530713,75.56170751061113,61.39163728812155,235.753,-115.152,58.1948,-127.7649598260132,42.26756993073082,29.74547605289159,1.394987988287563,0.3054836055905231
1601180527.308313,785.7328362440286,194.5785673443357,-287.7656571291913,74.15446226548949,37.02269820051677,244.622,-109.648,18.2169,-168.8831554689479,45.47635532227515,37.66006502912871,1.618786331359268,0.4489586901508517
1601180639.156887,840.8885415486762,209.1951391451649,-288.4980029412767,73.75879181948369,50.59415118255541,240.176,-105.776,41.5743,-173.2525334131199,43.90317412607956,36.51463524511252,1.694185377650032,0.4557354432993884
1601180751.005421,866.0901145021212,180.2277613027106,-291.5896160306653,77.32778096589045,14.62769294258464,236.521,-113.958,-32.6590,-188.6056411144174,45.64451033129851,36.96945394028017,1.811463084680335,0.6274851108478723
1601180862.853995,955.4691671664015,161.7199775880056,-284.5377581254293,96.14950401801323,5.742379618235957,246.833,-88.6024,-43.0941,-177.3901810590912,43.69119837860387,37.32725563171699,1.785406111649629,0.5929002821709195
1601180974.702529,1013.348392609158,180.9834573118005,-277.7503803301237,116.6572835335676,6.614605059990383,256.291,-53.6016,-44.0670,-171.1627225481145,44.09693539242787,34.50947982789801,1.940719758898485,0.5451336275185582
1601181086.551124,932.7713327003665,219.8717411433886,-290.0931495573204,101.7580281230465,-15.90750247193500,236.438,-78.8275,-74.4648,-186.7458048312271,48.26513833545155,40.78840880746042,1.951647512921808,0.7276535131426366
